modello,temperatura,sample_id,n_parole,H_parola_norm,R_gzip,stallo,L_ciclo,L_ciclo_char,V_ciclo,H_ciclo,frazione_stallo,accordo,estratto
Qwen2.5-1.5B,0.6,4,17306,0.47084133466984,0.02735612812874589,True,21.0,102.0,10.0,0.9781850139750835,0.9392118340459956,1.0,"seen by the prince in the drawing-room, and she was seen by the prince in the drawing-room. She was "
Qwen2.5-1.5B,0.7,3,17773,0.5350707933182928,0.03072549774626832,True,39.0,192.0,17.0,0.9872326807647697,0.9264052214032521,1.0,"a man of State and of business, but he had not been trained in the Government service but he was a man of State and of business. He had not been trained in the Government service but he was "
Qwen2.5-1.5B,0.7,5,13630,0.36232451558389905,0.053680308646644984,True,75.0,355.0,12.0,0.5727674250882706,0.7910491562729274,1.0,"day! One day! One day! One day! One day! One day! One day! One day! One day! One day! One day! One day! One day! One day! One day! One day! One day! One day! One day! One day! One day! One day! One day! One day! One day! One day! One day! One day! One day! One day!” The Prince sighed and sighed, and he was so charming that he said, “One day, one "
Qwen2.5-1.5B,0.7,2,15426,0.726386162758176,0.017155491622046406,True,68.0,330.0,38.0,0.9351272517541339,0.8026059898872034,1.0,"she is so ungrateful and, I should say, unreconciled with fate. She is a woman, a woman who has lost not only her husband, but also her children. And yet she is so beautiful. Her eyes are so large and black as those of a bird. She is so beautiful and has such a soul. She has a soul, an angelic soul, a soul of gold, and yet "
Qwen2.5-1.5B,0.8,5,15367,0.38079694952069404,0.09154989528884953,True,4.0,14.0,4.0,1.0,0.827812845708336,1.0,son. I have a 
Qwen2.5-1.5B,0.7,4,13647,0.7025034589678482,0.04776964708684548,True,62.0,333.0,47.0,0.9826379383818522,0.8141716128086759,1.0,"never in a mood to give offense. “Madame Chérapin is a splendid woman,” said the prince, with a smile of contempt for Madame Chérapin, whose name he had just said, he quitted the sofa. Anna Pávlovna did not dare to say so openly, for she knew that Anna Pávlovna had always been hostess of some kind or other, and that she was "
Qwen2.5-1.5B,0.8,4,15708,0.5138884720379507,0.10731863749808285,True,28.0,118.0,10.0,0.9578791966200297,0.6929590017825312,1.0,"but she didn’t know him, and he didn’t know her, and she didn’t know him, and he didn’t know her, and she knew him, "
Qwen2.5-1.5B,0.8,3,15669,0.5087331672111901,0.0551428099719333,True,22.0,131.0,13.0,0.965459225394398,0.8303018699342651,0.9986910994764397,"through all the necessary troubles. We have gone through all the necessary troubles. We have been broken, and we have not passed "
Qwen2.5-1.5B,0.6,5,16876,0.4190694175048772,0.015204493122647142,True,9.0,44.0,7.0,0.9708357627258161,0.9789642095283243,1.0,pain. He had the same feeling and the same 
Qwen2.5-1.5B,0.9,2,11292,0.6702491860851056,0.27286445542503773,False,,,,,,,
Qwen2.5-1.5B,0.9,3,17553,0.3454613202354102,0.09210191830110093,True,78.0,458.0,3.0,0.8672174912843854,0.6894547940522987,1.0,the favorite of the favorite-of favorite-of favorite-of favorite-of favorite of the favorite of the favorite-of favorite-of favorite-of favorite-of favorite-of favorite-of favorite-of favorite-of favorite of the favorite-of favorite-of favorite-of favorite-of favorite-of favorite-of the favorite-of favorite-of favorite-of favorite-of favorite-of favorite-of the favorite-of favorite-of favorite-of 
Qwen2.5-1.5B,0.9,4,15712,0.5496212593164472,0.14122251255801743,True,13.0,67.0,11.0,0.9807239409418418,0.5772021384928717,0.9996687279151943,"a friend of the Prince of the Covenant, and had also made himself "
Qwen2.5-1.5B,0.9,5,13058,0.6604858957900216,0.3209929175548374,False,,,,,,,
Qwen2.5-1.5B,1.1,2,5625,0.9868858003064221,0.6906725448183374,False,,,,,,,
Qwen2.5-1.5B,1.0,1,5197,0.9782712135784534,0.6907531259086944,False,,,,,,,
Qwen2.5-1.5B,1.1,3,4794,0.9938097335098712,0.7031391535217867,False,,,,,,,
Qwen2.5-1.5B,1.1,1,4796,0.9938355294160408,0.6909244259138433,False,,,,,,,
Qwen2.5-1.5B,1.1,5,4679,0.9918330541305503,0.6900821380409464,False,,,,,,,
Qwen2.5-1.5B,1.0,4,6964,0.9426506400319865,0.5431232991417208,False,,,,,,,
Qwen2.5-1.5B,1.0,5,4631,0.9525549773093586,0.6751742255628124,False,,,,,,,
Qwen2.5-1.5B,1.0,3,4823,0.9539684371128987,0.642090584954284,False,,,,,,,
Qwen2.5-1.5B,1.2,1,5177,0.9940509733474104,0.6939265411917175,False,,,,,,,
Qwen2.5-1.5B,1.0,2,6764,0.9121872113531125,0.510928186204939,False,,,,,,,
Qwen2.5-1.5B,1.2,2,5442,0.9945018145091661,0.6897752036622643,False,,,,,,,
Qwen2.5-1.5B,1.2,3,4600,0.9968266037720012,0.6999575010624735,False,,,,,,,
Qwen2.5-1.5B,1.2,4,5507,0.994124950503897,0.685170012290045,False,,,,,,,
Qwen2.5-1.5B,1.3,1,4447,0.9963995104147809,0.6925082666899737,False,,,,,,,
Qwen2.5-1.5B,1.3,3,5521,0.9965235891888937,0.6896241117513333,False,,,,,,,
Qwen2.5-1.5B,1.3,2,5658,0.9958373424460986,0.6864860249331132,False,,,,,,,
Qwen2.5-1.5B,1.2,5,4268,0.9961282545563044,0.6986270537924826,False,,,,,,,
Qwen2.5-1.5B,1.3,4,5725,0.9957992902450923,0.689569770733088,False,,,,,,,
Qwen2.5-1.5B,1.3,5,5126,0.9975366009733835,0.6916533529081567,False,,,,,,,
Qwen2.5-1.5B,1.4,1,5765,0.9967428378146358,0.6842251332149201,False,,,,,,,
Qwen2.5-1.5B,1.4,3,5175,0.9972443794959667,0.6940920468767778,False,,,,,,,
Qwen2.5-1.5B,1.4,2,5527,0.9970390800379969,0.6861901978792686,False,,,,,,,
Qwen2.5-1.5B,1.4,4,5262,0.9972247258965486,0.6868091893555699,False,,,,,,,
Qwen2.5-1.5B,1.4,5,5896,0.9962316035999503,0.687080911935628,False,,,,,,,
Qwen2.5-1.5B,1.5,1,5469,0.9970961856389662,0.6807123046928633,False,,,,,,,
Qwen2.5-1.5B,1.5,2,5892,0.995970372773659,0.6803957693619925,False,,,,,,,
Qwen2.5-1.5B,1.5,3,5109,0.9969740483966305,0.6848247393829147,False,,,,,,,
Qwen2.5-1.5B,1.5,4,5151,0.9970855364963127,0.6837871982032566,False,,,,,,,
Qwen2.5-1.5B,1.5,5,5300,0.9971148820006173,0.6917012563723988,False,,,,,,,
Qwen2.5-3B,0.4,1,15504,0.8162089183621316,0.009816786333250805,True,38.0,192.0,32.0,0.9784814237185753,0.9803921568627451,1.0,"it. I am not a good and virtuous father,” and, in order not to seem insensitive, he said: “Your words are very kind, but I don’t appreciate my children, and do not wish to be praised for "
Qwen2.5-3B,0.4,2,16826,0.471074285717049,0.012158890845070422,True,8.0,35.0,8.0,1.0,0.31451325329846663,1.0,"woman of the world, and she was a "
Qwen2.5-3B,0.4,3,16981,0.580700044878605,0.014035087719298246,True,19.0,93.0,15.0,0.9795193359563686,0.9810376302926801,1.0,"type, and she was always in a state of conflict with herself. She was a woman of the lowest "
Qwen2.5-3B,0.4,4,18261,0.6381631668903653,0.014518751774514106,True,45.0,191.0,17.0,0.9697866039022256,0.9794644323969115,0.9555518188442352,"of the world, and she was not accustomed to being told by a man of the world that he was a man of the world, and she was not used to being told by a man of the world that he was not a man "
Qwen2.5-3B,0.4,5,15067,0.78997991018977,0.015483920544050409,True,125.0,629.0,56.0,0.9279971706634015,0.9603769828101149,0.9998605785988149,"wish you to ask your son to marry my daughter.” The prince, who was not accustomed to be contradicted, was about to leave, but Anna Pávlovna stopped him again: “Don’t go away, and don’t think I am talking to you as if you were not a nobleman. I know that you are a nobleman. I know that you are a nobleman. I know that you are a nobleman. I know that you are a nobleman.” She repeated this with an em"
Qwen2.5-3B,0.5,1,16682,0.48791453254905787,0.0203620219515203,True,14.0,61.0,10.0,0.9741108952988199,0.9651720417216161,1.0,"had not come to see him, but she was coming to see him. She "
Qwen2.5-3B,0.5,2,15546,0.5058598503679048,0.008261132379609107,True,7.0,34.0,7.0,0.9999999999999999,0.9918306959989708,0.9998702309888399,good to his servants. He is very 
Qwen2.5-3B,0.5,3,15706,0.544954149260637,0.01331595495955497,True,27.0,128.0,11.0,0.9648052476943029,0.9820450783140201,0.9998701045658245,"learned to be a good courtier and not to be a courtier. She had learned to be discreet and to be a good courtier, and she had "
Qwen2.5-3B,0.5,4,16339,0.6211678340006425,0.019217590364959247,True,23.0,96.0,17.0,0.9710184004172842,0.8666381051471939,1.0,"good wife. And, as I say, I think it would be a very good match. I am sure she will be a very "
Qwen2.5-3B,0.5,5,17185,0.5076968684462675,0.016380729513884165,True,10.0,42.0,10.0,0.9999999999999998,0.9765493162641838,1.0,"the first class, and that he was a man of "
Qwen2.5-3B,0.6,1,15556,0.5772588727549053,0.015283842794759825,True,36.0,193.0,21.0,0.8596859616214738,0.9792363075340704,1.0,"and the poor, and the illustrious and the unknown, were full of hopes and expectations, and all the people in St. Petersburg, the famous and the not so famous, the high and the low, the rich "
Qwen2.5-3B,0.6,2,16042,0.47002266150330957,0.019047227813608292,True,248.0,1127.0,11.0,0.8965320092880239,0.8341852636828325,1.0,blame. You are a bad father. You are a bad lover of children. You are not to blame. You are not to blame. You are not to blame. You are a bad lover of children. You are not to blame. You are not to blame. You are not to blame. You are not to blame. You are a bad lover of children. You are not to blame. You are not to blame. You are not to blame. You are not to blame. You are a bad father. You are 
Qwen2.5-3B,0.6,3,16342,0.5585562202159386,0.01954191318610509,True,14.0,73.0,14.0,0.9999999999999998,0.9297515603965243,1.0,"it was a song in which the Empress had always taken great pleasure, and "
Qwen2.5-3B,0.6,4,16254,0.6074794902180622,0.01868895797126282,True,16.0,83.0,15.0,0.9918373461380351,0.5885320536483327,0.9375916230366492,"and they have not promised it. He has not asked for any help from the Portuguese, "
Qwen2.5-3B,0.6,5,15243,0.3476591032533145,0.01765330121034819,True,8.0,37.0,5.0,0.9690222556651344,0.9711342911500361,1.0,"she was sad, and she was happy, and "
Qwen2.5-3B,0.7,1,12096,0.3444544119551414,0.0512588549173541,True,3.0,16.0,3.0,0.9999999999999998,0.8482969576719577,1.0,"all, and, above "
Qwen2.5-3B,0.7,2,13825,0.4468403630957075,0.028318040646662178,True,8.0,45.0,8.0,1.0,0.911754068716094,0.9998412320393745,"her ‘faithful slave,’ and he had always been "
Qwen2.5-3B,0.7,3,16986,0.5100406019944219,0.025341984104870704,True,42.0,185.0,14.0,0.9437832918112419,0.9424231720240198,0.9998747338093449,"happy, and you must not be fond of anything, and you must not wish to be happy, and you must not be fond of a wife, and you must not be fond of a husband, and you must not wish to be "
Qwen2.5-3B,0.7,4,14735,0.50482886498526,0.023863044287309267,True,57.0,256.0,17.0,0.85325237331207,0.9587376993552765,0.9998578535891969,first Vasíli. He is the first. He is so good. He is the first of the Kórines. He is the first. He is so good and submissive and gentle. He will be a good Bishop. He is the first Vasíli. He is the first. He is so good. He is the first of men. He is the 
Qwen2.5-3B,0.7,5,14931,0.3633116366629609,0.02993642730249152,True,17.0,77.0,6.0,0.9268988891971944,0.31250418592190743,0.99978489997849,"not, and she was not, and the Empress was not, and she was not, and she was "
Qwen2.5-3B,0.8,1,8607,0.4903167337637108,0.01699454114738902,True,9.0,61.0,9.0,1.0,0.9702567677471825,1.0,"Bergin. New York: Harper & Row, 1957. Translated by John H. "
Qwen2.5-3B,0.8,2,15416,0.3470857451090534,0.0390513866824492,True,4.0,25.0,4.0,1.0,0.6242864556305138,1.0,They are not synonymous. 
Qwen2.5-3B,0.8,3,16552,0.5157272969220856,0.04733590827677799,True,13.0,66.0,11.0,0.9807239409418418,0.2706621556307395,1.0,"his daughter, and she was good and lovely. He was not jealous of "
Qwen2.5-3B,0.8,4,15457,0.3690500228884983,0.059727711901624944,True,4.0,20.0,4.0,1.0,0.8353496797567446,1.0,"and you are sorry, "
Qwen2.5-3B,0.8,5,14635,0.4240247307149619,0.06469668987072028,True,60.0,284.0,14.0,0.7368064988154543,0.8544584899214213,1.0,"French, or the King of the British, or the King of the Portuguese, or the King of the Swedes, or the King of the Prussians, or the King of the Serbs, or the King of the Grecians, or the King of the Danes, or the King of the Austrians, or the King of the Czars, or the King of the "
Qwen2.5-3B,0.9,3,14589,0.4578960169086857,0.09876304366226135,True,14.0,79.0,7.0,0.9491132589845683,0.7278771677291109,0.9998114097123998,"secretary of the two abbés, and the secretary of the two secretaries, and the "
Qwen2.5-3B,0.9,4,10997,0.5205400579476462,0.12851451176111953,False,,,,,,,
Qwen2.5-3B,0.9,5,8810,0.43625056184614874,0.09460177142759246,True,3.0,20.0,3.0,0.9999999999999998,0.68683314415437,0.9990079365079365,"and Count Vladímyr, "
Qwen2.5-3B,1.0,4,4716,0.9525654197582436,0.6503438057972115,False,,,,,,,
Qwen2.5-3B,1.1,1,2760,0.9941855026473528,0.6995792707359423,False,,,,,,,
Qwen2.5-3B,1.1,3,2744,0.9865822297162289,0.6897133790216401,False,,,,,,,
Qwen2.5-3B,1.1,4,3690,0.9823178700572938,0.7063151765390927,False,,,,,,,
Qwen2.5-3B,1.1,5,4751,0.961023164242819,0.6867822956981541,False,,,,,,,
Qwen2.5-3B,1.2,1,3584,0.9959465285307173,0.7046426483709196,False,,,,,,,
Qwen2.5-3B,1.2,2,2994,0.9948122216538493,0.7016604762945161,False,,,,,,,
Qwen2.5-3B,1.2,3,4074,0.9948940099205857,0.6975800854450391,False,,,,,,,
Qwen2.5-3B,1.2,4,4444,0.9905477905378296,0.7074824665975136,False,,,,,,,
Qwen2.5-3B,1.2,5,4225,0.9933199067082608,0.7046075509190264,False,,,,,,,
Qwen2.5-3B,1.3,1,4595,0.9956162815743629,0.7005722670579604,False,,,,,,,
Qwen2.5-3B,1.3,2,3908,0.9962870204169478,0.7128531941031941,False,,,,,,,
Qwen2.5-3B,1.3,3,3606,0.9963686210874718,0.7044061731156341,False,,,,,,,
Qwen2.5-3B,1.3,4,4184,0.9963899590598129,0.7107082873095372,False,,,,,,,
Qwen2.5-3B,1.3,5,3812,0.9960037807967288,0.7162942043222004,False,,,,,,,
Qwen2.5-3B,1.4,1,3983,0.9972745491533526,0.7004310344827587,False,,,,,,,
Qwen2.5-3B,1.4,2,4067,0.9965059847787203,0.7121054043580648,False,,,,,,,
Qwen2.5-3B,1.4,3,4128,0.9960782172041652,0.7044367116137451,False,,,,,,,
Qwen2.5-3B,1.4,4,4925,0.9958719370380841,0.7106359874387345,False,,,,,,,
Qwen2.5-3B,1.4,5,4534,0.9954978443067416,0.7111407311928756,False,,,,,,,
Qwen2.5-3B,1.5,1,4466,0.9966783314103304,0.6969124222463574,False,,,,,,,
Qwen2.5-3B,1.5,2,4601,0.9960423918707687,0.7008554307755811,False,,,,,,,
Qwen2.5-3B,1.5,3,4297,0.9955063987344953,0.7111372617387262,False,,,,,,,
Qwen2.5-3B,1.5,4,4548,0.9969021275254957,0.7084029017214578,False,,,,,,,
Qwen2.5-3B,1.5,5,4405,0.997111887811898,0.7120895088637024,False,,,,,,,
Qwen2.5-14B,0.4,1,15001,0.39214934237696936,0.01971475915985667,True,24.0,113.0,9.0,0.8347959727678894,0.9732017865475635,1.0,very charming. He is very modest. He is very kind. He is very good. He is very clever. He is very witty. He is 
Qwen2.5-14B,0.6,1,13281,0.7017082296607022,0.03602479525332838,True,150.0,839.0,60.0,0.9264891503993384,0.8869061064678865,0.9998280161664803,"They both were so clever. The vicomte was a Frenchman, and he felt that in court circles, where he lived, cleverness was the most important qualification. “Ah, mon cher vicomte! I was just speaking of you. I was saying to the prince that you are the most interesting man in Russia,” said Anna Pávlovna, turning to the vicomte. The vicomte bowed to Anna Pávlovna and the prince. “Ah, mon cher vicomte!"
Qwen2.5-14B,0.7,1,16394,0.48493627178029464,0.08704545973990355,True,16.0,85.0,5.0,0.9487027337173605,0.681346834207637,0.9998206921283844,"pleased that she was pleased that she was pleased, and she was pleased that she was "
Qwen2.5-14B,0.8,1,15859,0.5531879617816373,0.1405245678061347,True,12.0,56.0,7.0,0.9801500856796055,0.6154234188788701,1.0,"glad to see her, and was delighted to see her, and was "
Qwen2.5-14B,1.1,1,2303,0.9908642570222754,0.7375386622340985,False,,,,,,,
Qwen2.5-14B,1.2,1,2446,0.9947858134137817,0.7197518685738135,False,,,,,,,
Qwen2.5-14B,1.3,1,3007,0.9975383444357127,0.7149094894640079,False,,,,,,,
Qwen2.5-14B,1.4,1,3469,0.9959173668918444,0.7161070973225669,False,,,,,,,
Qwen2.5-14B,1.5,1,3127,0.998503826671435,0.7166949138321616,False,,,,,,,
Qwen2.5-14B,0.5,3,12737,0.7047924242317058,0.017321785476349102,True,33.0,189.0,28.0,0.981514473962564,0.9554840229253356,1.0,"her. I am sure she has everything.” “No, no. I don’t think so,” said the prince, smiling. “She is very clever, but she is frivolous and vain.” “Nonsense! You are prejudiced against "
Qwen2.5-14B,0.9,3,14970,0.6702999171659599,0.18289133814093197,True,42.0,235.0,29.0,0.9640635170551519,0.5257181028724115,1.0,"copies of this EBook without making any changes to it. 1.I.9. You may choose to distribute copies of this EBook to others who are at least three years old, provided that you keep your copy of this EBook, and that you distribute "
Qwen2.5-14B,1.0,5,6206,0.9366371831238318,0.6368839752653186,False,,,,,,,
Qwen3.5-2B-Base,0.4,2,16986,0.8207710081335605,0.008485505003610854,True,62.0,277.0,29.0,0.9458313217357335,0.986165077122336,1.0,"do. I have tried to make them gentlemen, but they have never been good enough for me. I have tried to be a good father, but I have never been a good mother. I have never been a good mother, and I don’t know how to be one. I can’t do anything for them. I don’t know what to "
Qwen3.5-2B-Base,0.4,1,16297,0.722267088180419,0.007639736103379251,True,22.0,110.0,18.0,0.9822227626598229,0.9854574461557342,1.0,Do you know that I have been married for twenty years? I have been married to a woman who is not happy.” “
Qwen3.5-2B-Base,0.4,3,17004,0.6845825632041359,0.008351893095768375,True,16.0,59.0,9.0,0.985827739955402,0.9938837920489296,1.0,good wife. I say she is a good wife. I don’t say she is a 
Qwen3.5-2B-Base,0.4,4,15746,0.6769692647601246,0.006660572025597493,True,37.0,198.0,12.0,0.9129118950774299,0.988886066302553,1.0,citizens. I have seen them become good men. I have seen them become good husbands and fathers. I have seen them become good people. I have seen them become good men. I have seen them become good 
Qwen3.5-2B-Base,0.4,5,16773,0.5729107527448226,0.012664829024808165,True,64.0,307.0,14.0,0.86785428842722,0.9793716091337268,0.9999388865122533,of the true. You have a great sense of the just. You have a great sense of the noble. You have a great sense of the honorable. You have a great sense of the beautiful. You have a great sense of the sublime. You have a great sense of the great. You have a great sense of the good. You have a great sense 
Qwen3.5-2B-Base,0.5,1,14793,0.47580578622172426,0.01620704992772156,True,10.0,44.0,8.0,0.9739760316291209,0.9691746096126547,1.0,like him.’ And you will say: ‘I know I will 
Qwen3.5-2B-Base,0.5,2,11220,0.42722038189480893,0.012377483986556906,True,10.0,69.0,6.0,0.9756149631508355,0.9564171122994652,1.0,"smiling. “Very well,” he said, smiling. “Very well,” she said, "
Qwen3.5-2B-Base,0.5,3,15021,0.2822629260329723,0.010074249660124796,True,3.0,18.0,3.0,0.9999999999999998,0.9743026429665136,1.0,nothing. You are 
Qwen3.5-2B-Base,0.5,4,15994,0.4000961881406074,0.013977074787885598,True,8.0,36.0,6.0,0.967132018086354,0.9769288483181193,1.0,His name is Ivan. I know his name. 
Qwen3.5-2B-Base,0.5,5,17373,0.7057082008058524,0.011226894926187819,True,20.0,92.0,18.0,0.9884897434514175,0.9870488689345536,0.9500233535730966,"to be a father of two children, and they are like two little birds. I know what it is like "
Qwen3.5-2B-Base,0.6,1,16348,0.43262533451901236,0.012805460323423973,True,6.0,24.0,6.0,0.9999999999999999,0.9635429410325422,1.0,very rich man. He is a 
Qwen3.5-2B-Base,0.6,2,14548,0.6761898850052648,0.02204247402096474,True,53.0,309.0,34.0,0.9645242543594046,0.9420538905691505,1.0,"of the carriage and called: “Grand Duchess Anna Pavlovna, please come.” The Grand Duchess went to the door and stood there, looking at him with a strange expression of surprise, and she said: “I don’t know what to do.” “Grand Duchess Anna Pavlovna, please come,” he said, and he opened the door "
Qwen3.5-2B-Base,0.6,3,17244,0.5095700749582499,0.02358843992507359,True,11.0,48.0,11.0,1.0,0.950649501275806,1.0,She had not been able to do it for some years. 
Qwen3.5-2B-Base,0.6,4,14937,0.43523121730643227,0.019893768403849134,True,59.0,243.0,14.0,0.7563931489913662,0.8550579098881971,1.0,know. I don’t know.” “I don’t know. I don’t know. I don’t know. I don’t know. I don’t know. I don’t know.” The prince was silent. “Do you know what we are saying?” “I don’t know. I don’t know. I don’t know. I don’t know. I don’t 
Qwen3.5-2B-Base,0.7,1,16258,0.418587500134055,0.027141791473001664,True,6.0,25.0,6.0,0.9999999999999999,0.936031492188461,1.0,t care about them. I don’
Qwen3.5-2B-Base,0.6,5,16443,0.8513263009480447,0.017601678701475037,True,210.0,1003.0,69.0,0.9066746969678139,0.9593139937967524,1.0,"You’re a man of your age. And I’m sure you don’t know what happiness is. You want to do everything for them, but you don’t know anything. You’re a man of your age, and you have two children. When I was a little girl, I loved the children of my friends, and I loved their children more than my own. I would have given them everything, and would have given myself up for them. They are my only friends."
Qwen3.5-2B-Base,0.7,2,13729,0.3911852702572458,0.03968995024366534,True,2.0,12.0,2.0,1.0,0.6721538349479205,1.0,The prince. 
Qwen3.5-2B-Base,0.7,3,8104,0.5500765315420677,0.06422753371611697,True,16.0,115.0,14.0,0.9725438281739369,0.8731490621915103,1.0,"Empire, Vol. I, p. 211. * * * [5] See the work “Anna Pávlovna Schérer,” in the Encyclopaedia of the Russian "
Qwen3.5-2B-Base,0.7,4,13767,0.5498310336883104,0.030235929880057993,True,15.0,79.0,14.0,0.9911230603728026,0.9075325052662163,1.0,"window. “Anatole is a great man,” said the woman, and then she went to the "
Qwen3.5-2B-Base,0.7,5,15470,0.5344796119762457,0.047768802546316845,True,12.0,61.0,7.0,0.9801500856796055,0.37407886231415644,1.0,was not a diplomat. The author was not a soldier. The author 
Qwen3.5-2B-Base,0.8,1,15017,0.4097742130928471,0.09538208881300261,True,4.0,20.0,4.0,1.0,0.7747219817540121,1.0,you believe it. And 
Qwen3.5-2B-Base,0.8,2,16968,0.49484471180692463,0.047533170166172874,True,11.0,50.0,10.0,0.9866599586738648,0.8541961338991042,1.0,"and you make an effort to know what you are not, "
Qwen3.5-2B-Base,0.8,3,16033,0.37839649727855407,0.07462012725913177,True,4.0,17.0,4.0,1.0,0.8115761242437473,0.9996924969249692,You will go mad. 
Qwen3.5-2B-Base,0.8,4,13389,0.40400444884374526,0.033725757060224563,True,9.0,41.0,7.0,0.9708357627258162,0.9314362536410487,1.0,"say ‘No,’ I shall say ‘No,’ and when you "
Qwen3.5-2B-Base,0.8,5,15719,0.5791903858252703,0.10039088038503804,True,42.0,181.0,22.0,0.9172976459473792,0.7143584197468033,1.0,"nothing to the baron and his wife, and say nothing to him, and I don’t wish to say anything to him, and I don’t wish to go down to Lucca, and leave him to do what he can, and say "
Qwen3.5-2B-Base,0.9,1,15044,0.7047506727308563,0.28432598976069684,False,,,,,,,
Qwen3.5-2B-Base,0.9,2,16218,0.6687526332877042,0.2514338373488863,False,,,,,,,
Qwen3.5-2B-Base,0.9,3,15042,0.6423614448967276,0.19125578043360758,True,11.0,64.0,10.0,0.9866599586738648,0.4331870761866773,1.0,mistake. And what shall this become? It will become a terrible 
Qwen3.5-2B-Base,0.9,4,13011,0.6805753030719158,0.23748488512696495,False,,,,,,,
Qwen3.5-2B-Base,0.9,5,16297,0.580730764803335,0.18975892402943037,True,6.0,26.0,6.0,0.9999999999999999,0.4434558507700804,1.0,"this, that they didn’t do "
Qwen3.5-2B-Base,1.0,1,4739,0.7518193553340956,0.34156642608928095,False,,,,,,,
Qwen3.5-2B-Base,1.0,2,4044,0.7939348135406877,0.5985384417828209,False,,,,,,,
Qwen3.5-2B-Base,1.0,3,14876,0.7721974757227454,0.45297540365918443,False,,,,,,,
Qwen3.5-2B-Base,1.0,4,3129,0.8424752300324123,0.16355815073066948,False,,,,,,,
Qwen3.5-2B-Base,1.0,5,6344,0.9387258995070762,0.6048698388306533,False,,,,,,,
Qwen3.5-2B-Base,1.1,1,7249,0.9497002163507599,0.6688786857019873,False,,,,,,,
Qwen3.5-2B-Base,1.1,2,3127,0.9907839478802383,0.8075761151758319,False,,,,,,,
