corpus,titolo,sequenza,tipo,n_eventi,gamma,gamma_A1,gamma_A2,cv_tau
wikipedia,Industrial Revolution,to,funzione,200,0.7853079772259387,0.9049883147111816,0.8560249337779666,0.8572181029823365
wikipedia,Industrial Revolution,was,funzione,177,1.1935915608197103,1.0494800989915882,1.1276372887855173,1.2099018198938953
wikipedia,Industrial Revolution,iron,keyword,61,1.5780991063637566,0.9373140801166727,1.4188757013139257,2.238565882357266
wikipedia,Industrial Revolution,industrial,keyword,59,1.1931158183499695,0.9383094115859829,1.1178772135353163,1.1026618961308408
wikipedia,Industrial Revolution,cotton,keyword,46,1.6369787867094807,1.0493319203472733,1.5816430744583603,4.893399611532834
wikipedia,Industrial Revolution,revolution,keyword,46,1.2492639372406371,0.975671401555848,1.1769196657527508,1.3107074536214982
wikipedia,Industrial Revolution,century,keyword,47,0.9748002772731342,1.0284476927041828,0.981838035490379,0.9513968312259061
wikipedia,Industrial Revolution,steam,keyword,43,1.3752600547489555,0.9809071631952548,1.3085460435247194,1.7400458451285665
wikipedia,Industrial Revolution,first,keyword,38,1.1607255653101003,0.9737975701261287,1.1311275674728283,1.3037026361404767
wikipedia,Industrial Revolution,with,appaiata,62,1.109851831966077,0.9249539420656058,1.0778545207344703,1.12669413071591
wikipedia,Industrial Revolution,as,appaiata,71,1.0234451693898785,0.9715833168102291,1.080219784306947,1.1749986397853305
wikipedia,Industrial Revolution,from,appaiata,46,1.0179032996186228,1.0217015068476245,1.0199883762226039,1.157438530502181
wikipedia,Industrial Revolution,th,appaiata,47,0.9919331553003217,1.008446264961526,0.98566530943685,1.0874517301435298
wikipedia,Industrial Revolution,which,appaiata,43,1.041073235298208,0.978643480096823,1.064798094696923,0.9289751476844416
wikipedia,Industrial Revolution,had,appaiata,38,1.0540140303838976,1.0235746536279673,1.0090582779376855,0.9414844211918251
wikipedia,Industrial Revolution,it,appaiata,38,1.1307503911453705,1.0179067171694391,1.0942552906866416,0.9928182120461707
wikipedia,Protestantism,vocali,vocali,18658,1.0797502792947598,1.0251398993498941,0.9410455070691904,0.4922286199283487
wikipedia,Protestantism,spazio,spazio,8871,1.3521532857476002,0.9653193719919494,1.0014636484433632,0.5204162480710285
wikipedia,Protestantism,e,lettera,5872,1.2493483767000166,1.0076377765388276,0.9485737196586115,0.8272242420128207
wikipedia,Protestantism,t,lettera,4710,1.0496295140472978,0.9918351150144514,0.948975071514424,0.8222551533320929
wikipedia,Protestantism,i,lettera,4029,1.1712251537012754,0.9032259866909081,0.9562654514315255,0.8821731855025202
wikipedia,Protestantism,a,lettera,3934,1.1882416140721717,0.9477027006301945,0.9663783590439797,0.8155344098841284
wikipedia,Protestantism,n,lettera,3789,1.2554376294059053,1.0126004859450561,0.962673254349415,0.8392437014734844
wikipedia,Protestantism,o,lettera,3573,1.143165738961984,1.0586480693155427,0.9166152927642356,0.8811819777367452
wikipedia,Protestantism,r,lettera,3331,1.1295833832113704,0.9321829746169809,0.9598825299237959,0.8459069610775863
wikipedia,Protestantism,s,lettera,3196,1.158541824457069,1.0641945780594382,0.9192425309903774,0.9248012434234166
wikipedia,Protestantism,h,lettera,2754,1.2068626488720804,0.9654930853181986,0.9497040476243676,0.9205017312431291
wikipedia,Protestantism,l,lettera,1955,1.1269853471090505,1.015701108296961,0.9680172778975517,0.977245294541938
wikipedia,Protestantism,c,lettera,1946,1.1744501651224781,0.9432929212497592,0.9894713591753993,0.9929088368149397
wikipedia,Protestantism,d,lettera,1772,1.0291802473047706,0.9227687235838591,0.9773566604551563,0.9282559558825417
wikipedia,Protestantism,m,lettera,1363,1.290797395860056,0.9652156460839825,0.9702477969792072,1.046739302012708
wikipedia,Protestantism,u,lettera,1250,1.1399382394737254,0.9628305958559101,0.9399824879652932,0.9044489142081215
wikipedia,Protestantism,f,lettera,1175,1.1662837999752576,0.9385399710977076,0.9824775617035145,1.03073008570599
wikipedia,Protestantism,p,lettera,953,1.2455556112718125,0.9777875104849967,1.0508032838172772,1.09637130861543
wikipedia,Protestantism,g,lettera,899,1.2554880271888575,1.0697022821454787,0.9938152455833372,1.0568622174643454
wikipedia,Protestantism,y,lettera,648,1.108562476692998,1.0207081580611168,0.9565207373729345,0.9363587212794569
wikipedia,Protestantism,w,lettera,604,1.2140932307175996,1.0460032534871677,1.075630556729949,1.116585481025658
wikipedia,Protestantism,the,funzione,858,1.2284980800884255,0.9743314679324996,1.017092606166154,0.8953073287486796
wikipedia,Protestantism,of,funzione,466,1.1804425739246436,1.0280134578979763,1.0050339354340414,1.0039207025303614
wikipedia,Protestantism,and,funzione,297,1.126190255192658,1.0549312004106317,1.0233970953234233,0.8785882792832571
wikipedia,Protestantism,in,funzione,233,1.1867463641969855,0.9983102671951039,1.082050527069845,1.063487948105617
wikipedia,Protestantism,to,funzione,167,1.2020849289718576,0.9429067072561598,1.0677784798484966,1.1277021386766175
wikipedia,Protestantism,as,funzione,134,1.0911521294461874,1.016297999352096,0.9419448853729099,0.9783329866738516
wikipedia,Protestantism,church,keyword,103,1.176527760333445,0.983568323234825,1.1399631288586118,1.3142233057358603
wikipedia,Protestantism,protestant,keyword,75,1.2222209040003706,1.0101203406239843,1.1445808845674312,1.1742817746244958
wikipedia,Protestantism,reformation,keyword,55,1.1412009133729593,1.026048250391766,1.139681642203431,1.317664946741493
wikipedia,Protestantism,catholic,keyword,42,1.162074835517738,0.9659418400958083,1.1680517243937498,1.2708307644456176
wikipedia,Protestantism,churches,keyword,40,1.233100907444113,0.9670127163382584,1.186078095939483,1.773137647541117
wikipedia,Protestantism,reformed,keyword,40,1.2073078864208748,0.9777860169883117,1.1597151665828491,1.377210988471028
wikipedia,Protestantism,movement,keyword,36,1.2095211299330564,0.9813992638966876,1.1643736178018749,1.4386238291399294
wikipedia,Protestantism,that,appaiata,88,1.2107975700086855,1.0382082774612982,1.112460498406004,1.396049652819261
wikipedia,Protestantism,by,appaiata,72,1.0017022346233753,0.9813295511324105,1.0113594057181075,0.9587701775755653
wikipedia,Protestantism,was,appaiata,61,1.1425359263823809,1.0493875049714723,1.1664430536011017,1.3067529166923808
wikipedia,Protestantism,on,appaiata,40,1.0480606841160547,1.0015829684855933,0.9989549258134341,0.9597410678704874
wikipedia,Protestantism,or,appaiata,39,1.1436666798193398,0.9980554109606835,1.1336355172008756,1.430663784039251
wikipedia,Protestantism,for,appaiata,43,0.9479731659728986,0.9993346640282562,0.9835033229972264,1.0178592590650004
wikipedia,Protestantism,are,appaiata,37,1.1899627600220284,0.986142808268314,1.164228097206796,2.087975560117818
wikipedia,Slavery,vocali,vocali,18451,1.227173970585005,0.9974421494408516,0.9454791614427526,0.5219368997928412
wikipedia,Slavery,spazio,spazio,9502,1.243001214418465,0.9319673945398503,1.0174924656274642,0.4622277490314717
wikipedia,Slavery,e,lettera,5999,1.1365311923103008,0.9431109304352692,1.030359220963124,0.8300592058272662
wikipedia,Slavery,a,lettera,4510,1.3523830302928546,0.9558753809542457,0.9754084665352147,0.8561941704333909
wikipedia,Slavery,t,lettera,4102,1.1347427095048699,0.9431563286971132,1.0143780132947584,0.8887654454600535
wikipedia,Slavery,n,lettera,3529,1.1543722032524448,0.9060983974061801,1.0188398164768755,0.8756597683856517
wikipedia,Slavery,i,lettera,3451,1.13957482007919,0.978028822457525,0.9791239058716656,0.900547852209235
wikipedia,Slavery,s,lettera,3445,1.1488320023124619,1.067787517245327,1.0209803446382322,0.9580918832195152
wikipedia,Slavery,o,lettera,3244,1.1972270265241782,1.0434479154390661,0.9828481875869416,0.9411469009042154
wikipedia,Slavery,r,lettera,3206,1.0700969722465017,0.95321654090053,0.9678649823285141,0.8315339825925468
wikipedia,Slavery,l,lettera,2153,0.981954536527988,0.9449230779132152,1.027933549194015,0.957761402098292
wikipedia,Slavery,h,lettera,2074,1.0748592924710745,1.071067844723613,0.9979197574005528,0.8703629150058241
wikipedia,Slavery,d,lettera,1847,1.1209659743933285,0.9308706836649123,1.0209789394259612,0.8817530437762102
wikipedia,Slavery,c,lettera,1542,1.053269817629853,0.9994940120090446,1.0241846106549592,0.9327468298653502
wikipedia,Slavery,u,lettera,1247,0.9483875525230052,0.9339883305603442,0.997623822052898,0.9731698281061246
wikipedia,Slavery,m,lettera,1145,0.9714907537823221,0.861189609919541,0.9521691714700755,0.9670233065415522
wikipedia,Slavery,f,lettera,1044,1.226554843833842,1.0410014377800811,1.0315443855727413,1.0250177347489298
wikipedia,Slavery,p,lettera,976,1.0731594205454114,0.9191978774332196,0.9465900380029512,1.0266623856082915
wikipedia,Slavery,v,lettera,819,1.1033104383013266,0.980554912737805,0.9997905149309831,0.8703059981599597
wikipedia,Slavery,y,lettera,819,1.1940289971279907,0.9862130889054064,1.022523800121542,1.0679505832148746
wikipedia,Slavery,b,lettera,755,1.1257212097507685,0.9292724896939983,1.0407693670421383,1.0379788888538037
wikipedia,Slavery,the,funzione,760,1.3342127332444944,1.058454868644499,1.095006700315012,1.0052043142780422
wikipedia,Slavery,of,funzione,378,1.0486946895378895,0.8947993592078127,1.04065143961216,1.0069838636743287
wikipedia,Slavery,in,funzione,362,1.2233892966073545,0.9781847236540115,1.1826623796618865,1.1902152336583873
wikipedia,Slavery,and,funzione,302,0.9244269691896009,0.968391095800491,0.9388784803162054,0.8369644269902505
wikipedia,Slavery,to,funzione,240,1.0540548657164461,1.040640446868398,1.1017842504345483,1.0180562117141194
wikipedia,Slavery,as,funzione,156,1.168687528733167,0.9750810740581358,1.1391277179822425,1.3410635464155591
wikipedia,Slavery,slavery,keyword,151,1.3300169633582275,0.9105133675433489,1.228259341343996,1.3194020740309937
wikipedia,Slavery,slaves,keyword,135,1.144736273109749,1.0393911648079568,1.1008480601976558,1.0430798384057396
wikipedia,Slavery,slave,keyword,106,1.1370545223501833,1.0021925151806161,1.1826657022439895,1.3849569338231682
wikipedia,Slavery,labour,keyword,46,1.1948777581628507,0.950605607155307,1.1479808276507137,1.403221782415239
wikipedia,Slavery,trade,keyword,41,1.3247924463069571,1.0525492959742033,1.3418853741069157,1.7207462201881383
wikipedia,Slavery,african,keyword,39,1.3006566031404139,0.9928162628587183,1.2157187970120937,1.6458505069812626
wikipedia,Slavery,africa,keyword,33,1.236102271577607,0.9335409956751706,1.167036554450288,1.3745706878055093
wikipedia,Slavery,were,appaiata,118,1.1724418706598196,0.9956031120765253,1.1373292189118054,1.302387711342481
wikipedia,Slavery,was,appaiata,109,1.0861464511708379,0.9593846467627919,1.0094433320355447,1.0098420267281114
wikipedia,Slavery,by,appaiata,77,1.0584312828535063,0.9365220913077646,1.0242470713632121,1.1643018870703674
wikipedia,Slavery,or,appaiata,48,1.144584444660639,0.991555823503849,1.1732571555663693,1.344234273123908
wikipedia,Slavery,with,appaiata,41,1.0291881101517257,0.9619808665783941,1.0147652888014747,0.9175340374745667
wikipedia,Slavery,it,appaiata,40,0.9670511978112564,0.9008547873890188,0.956607372466881,1.0714352347987302
wikipedia,Slavery,who,appaiata,33,1.0326336205582172,0.9723204410586265,1.0510441954535006,0.9581993858349216
wikipedia,Sigmund Freud,vocali,vocali,18466,1.2566100623505672,1.0364110581487103,0.9523959568933343,0.5306203712956764
wikipedia,Sigmund Freud,spazio,spazio,9239,1.2854900201150188,0.9363629781266058,0.9456001791055545,0.4937102024732337
wikipedia,Sigmund Freud,e,lettera,5946,1.2262243108081656,0.897567228739153,1.0224087561929307,0.828467424886316
wikipedia,Sigmund Freud,t,lettera,3973,1.1185276206123382,0.948244407175661,1.0135385589963037,0.8957293081258453
wikipedia,Sigmund Freud,i,lettera,3851,1.230308963186658,0.9922931719726487,0.8985776898228486,0.8822945615989605
wikipedia,Sigmund Freud,a,lettera,3749,1.2339281289407735,0.9986644851586474,0.9438568579907569,0.8739452476294627
wikipedia,Sigmund Freud,n,lettera,3613,1.1432918477445706,1.0569789546331905,0.9443953599234417,0.8680733731425377
wikipedia,Sigmund Freud,s,lettera,3470,1.339468716742504,1.0376272176116859,1.0273528099665536,0.9369762230512507
wikipedia,Sigmund Freud,o,lettera,3396,1.153392565026473,1.0374459181710318,1.0687498132595157,0.8910898383919073
wikipedia,Sigmund Freud,r,lettera,3156,1.1497496813992034,0.9143599352638998,0.9778681337494822,0.8679276749789404
wikipedia,Sigmund Freud,h,lettera,2404,1.2446793051595058,0.9352017953023908,0.9128412216054608,0.8438109266231061
wikipedia,Sigmund Freud,d,lettera,2110,1.101237074284388,0.9947903757505685,0.9072501729644534,0.9310180475840137
wikipedia,Sigmund Freud,l,lettera,1816,1.1742135954276238,0.9894675784563636,0.9719468305917758,1.028963074827879
wikipedia,Sigmund Freud,c,lettera,1723,1.3426766783020256,1.081348960724419,1.0835555044903822,1.101546579932308
wikipedia,Sigmund Freud,u,lettera,1524,1.0978202383690643,0.9870488757930289,0.9540416619501247,0.8691494117256967
wikipedia,Sigmund Freud,f,lettera,1376,1.0380126759319133,0.9390465322799262,0.9394684494726043,0.9022529676090477
wikipedia,Sigmund Freud,p,lettera,1085,1.2031631915111105,1.0015641838851532,1.0228895616852767,1.0073381737246176
wikipedia,Sigmund Freud,m,lettera,1056,1.0307989548403451,0.9647242054936381,0.9490815184034548,1.0403591352607995
wikipedia,Sigmund Freud,y,lettera,897,1.0982712298000785,0.991632316796394,1.0526611185037282,1.0822396084296866
wikipedia,Sigmund Freud,g,lettera,777,1.2304181946224948,0.9777285800774275,1.0542077224356272,1.044085854580401
wikipedia,Sigmund Freud,w,lettera,728,1.1958829259818804,0.9633021088422079,1.0848745018126251,1.0146252644097067
wikipedia,Sigmund Freud,the,funzione,581,1.3850084903746587,0.9916992563084385,1.0360922662934018,1.012698705655612
wikipedia,Sigmund Freud,of,funzione,435,1.1457090549261566,0.9947381070797393,1.069183665950585,0.9658121528289909
wikipedia,Sigmund Freud,in,funzione,312,1.162740531574665,0.9971185373164316,1.0396733573360362,0.9966276116499379
wikipedia,Sigmund Freud,and,funzione,307,1.0303945312882012,0.9804314349701997,0.8797392334317258,0.8642641067420183
wikipedia,Sigmund Freud,to,funzione,232,1.1216341921245678,0.972449444692656,1.0402698587389865,1.00855495161975
wikipedia,Sigmund Freud,his,funzione,197,1.1012557061182233,1.0758368943303587,1.050460525754055,1.1780889588076862
wikipedia,Sigmund Freud,freud,keyword,237,1.1942928459120967,0.9638110130656797,0.9510685392683568,0.8665513211831161
wikipedia,Sigmund Freud,freud's,keyword,77,1.2937301556589391,1.0159858471934065,1.1277235024284866,1.1110044559534158
wikipedia,Sigmund Freud,psychoanalytic,keyword,36,1.476940561801222,0.9671376780089918,1.44098426809975,2.3046442786769377
wikipedia,Sigmund Freud,work,keyword,40,1.1924412145609553,0.9819015569204437,1.1417780083982212,1.2760151318335855
wikipedia,Sigmund Freud,theory,keyword,31,1.2781685926924717,0.9813217348251918,1.221657945772545,1.75173959287051
wikipedia,Sigmund Freud,vienna,keyword,28,1.0962087703608743,1.0033434506726284,1.0769273186120945,1.1871276826261472
wikipedia,Sigmund Freud,unconscious,keyword,27,1.4870968060637886,0.9639390766911392,1.413652928357006,2.116318174006387
wikipedia,Sigmund Freud,he,appaiata,115,1.2547090171647786,0.9371950535575199,1.1550260181349243,1.2594588003269847
wikipedia,Sigmund Freud,that,appaiata,82,1.3957265678318649,0.9522832282294887,1.291326188033205,1.701936636511848
wikipedia,Sigmund Freud,it,appaiata,44,1.0796933739205326,1.0170312337893115,1.1114505309881653,1.2784521882786395
wikipedia,Sigmund Freud,who,appaiata,29,1.159085270942188,0.9990919141310156,1.1397745738183056,1.128477778925235
wikipedia,Sigmund Freud,first,appaiata,25,1.0495480872039387,0.9415522829348797,1.10620473247035,1.4287597237551657
wikipedia,Sigmund Freud,him,appaiata,25,0.9762406840774057,0.9795378538418033,0.9837980837172501,1.2966877239220527
wikipedia,Sigmund Freud,after,appaiata,24,1.034379320651263,0.9569498577035723,1.0426710452821555,1.0171053204412048
wikipedia,Christianity,vocali,vocali,18466,1.2205490410840114,0.9830835354746378,0.9235009624533917,0.5037571494945694
wikipedia,Christianity,spazio,spazio,9071,1.2769309744223247,0.9409692279487123,1.009185425505513,0.5008406960761804
wikipedia,Christianity,e,lettera,5642,1.1251608319838606,0.9605546623763811,0.9835590184167811,0.8812655549190418
wikipedia,Christianity,t,lettera,4637,1.2237264548597766,0.8892969956970244,0.934670582463863,0.811307153979877
wikipedia,Christianity,i,lettera,4309,1.1580664924737334,1.0167841995845497,1.0564565817438132,0.879400931679588
wikipedia,Christianity,a,lettera,3913,1.1625279249098024,0.9874919040238481,1.0167839599494422,0.8028121091437342
wikipedia,Christianity,n,lettera,3815,1.1992533385627282,0.9629750908122555,1.0048944867417131,0.838919388419775
wikipedia,Christianity,s,lettera,3446,1.1901868284272157,0.921618326484491,0.9696397155027855,0.9124893576669754
wikipedia,Christianity,o,lettera,3360,0.9547174428486869,0.941586728646231,0.9714376817833803,0.8859009696222079
wikipedia,Christianity,r,lettera,3228,1.142121263265301,0.936230691936669,0.9279748886627078,0.8262222924802055
wikipedia,Christianity,h,lettera,2798,1.017635090643816,0.9838871842528545,0.9752647253738255,0.8883577887906476
wikipedia,Christianity,c,lettera,2125,1.2691953183033933,0.9581775819633771,1.040435836279853,1.015524435817705
wikipedia,Christianity,d,lettera,1846,1.153277970138612,0.9487528793207062,0.9992516810261026,0.8716084769986487
wikipedia,Christianity,l,lettera,1778,1.2886430499947943,0.9530035824466525,0.8872780700719494,1.038392775923941
wikipedia,Christianity,u,lettera,1242,1.2399787087953922,1.0583456918903618,0.9840205621128763,1.023604197210972
wikipedia,Christianity,m,lettera,1110,1.2002059140628685,0.9100593581242222,1.0441961946788603,1.0071604360277486
wikipedia,Christianity,f,lettera,1057,1.084393768374538,0.8839895394051304,0.9746023173558817,0.9761423250830221
wikipedia,Christianity,p,lettera,921,1.1834991810357047,1.0582223109585154,1.0272870798864753,1.047253629374404
wikipedia,Christianity,g,lettera,885,1.1612621921248099,0.9313039585384214,0.9887475756219736,1.009752481313207
wikipedia,Christianity,y,lettera,749,1.0904396097783233,0.9387520772971868,0.9975339719028332,0.9962270142726167
wikipedia,Christianity,w,lettera,627,1.2464777384874577,1.024113665619011,1.0125902726629248,0.9964098724564564
wikipedia,Christianity,the,funzione,886,1.1696338555160535,1.0011405343644764,1.0002004238773416,0.9284912534907995
wikipedia,Christianity,of,funzione,449,1.1270005725928844,1.0296661302873145,0.9916772843015607,0.8963974667405941
wikipedia,Christianity,and,funzione,372,1.235880790584049,0.971742923996261,1.015488221466974,0.8988649094668738
wikipedia,Christianity,in,funzione,279,1.133889879269675,1.0339694344908057,1.0707510537470637,1.0604024867929878
wikipedia,Christianity,to,funzione,179,1.0284592274648057,1.0411908674299841,1.0780673737212065,1.1221222503632096
wikipedia,Christianity,as,funzione,113,0.9651892489750629,0.9258527924406327,0.9574945294214153,1.0670154718606877
wikipedia,Christianity,christian,keyword,79,1.029687809646832,0.9615372464787155,1.1208317177796383,1.1455667068426798
wikipedia,Christianity,church,keyword,63,1.0948423888899232,1.023514380302147,1.1026417516050688,1.5504005907414715
wikipedia,Christianity,christianity,keyword,59,1.3179098265641005,0.9875598173023473,1.2345825503192789,1.5315711918770927
wikipedia,Christianity,jesus,keyword,55,1.5290232180560561,1.0517753437892867,1.3826592376741054,2.1648062968933646
wikipedia,Christianity,christians,keyword,54,1.204809219049083,1.042339240416193,1.1267515163052153,1.1853373714030069
wikipedia,Christianity,god,keyword,53,1.3819032728043608,0.993695941399466,1.3373277806162862,2.581304973754384
wikipedia,Christianity,churches,keyword,35,1.1577644979689732,0.9667254770303236,1.0959149341380052,1.0649651416920975
wikipedia,Christianity,that,appaiata,86,1.244176397143883,0.9647691470131431,1.2047548049569456,1.6452083953722068
wikipedia,Christianity,by,appaiata,66,1.1473088770984212,0.9993677047993096,1.0488805258187208,1.0612786181753808
wikipedia,Christianity,are,appaiata,58,1.2011794297200231,0.9785053354949816,1.0995661682654345,2.0115593408450296
wikipedia,Christianity,was,appaiata,53,1.1022068953250097,1.0025070299819927,1.1546383091095869,1.2193217494083144
wikipedia,Christianity,from,appaiata,49,1.0789076784058185,0.971580732070255,1.0707581141655202,1.1869434747626664
wikipedia,Christianity,for,appaiata,47,0.9585846593111623,1.0149999091104747,1.0436741309162392,1.0193063412948555
wikipedia,Christianity,this,appaiata,36,1.2127493114502956,0.9608823256756697,1.1706324444915077,1.2058344526883955
wikipedia,Judaism,vocali,vocali,18386,1.537443287933239,1.042307151878157,0.8849413648560415,0.5785595868054932
wikipedia,Judaism,spazio,spazio,9118,1.3508161297845578,0.9953480312635746,0.9816093395983732,0.49746269983224073
wikipedia,Judaism,e,lettera,5539,1.3170831039991162,0.9885745255223547,0.8988357165690655,0.880729962615346
wikipedia,Judaism,t,lettera,4108,1.146544909088173,0.9007244359865209,1.0054226984637735,0.9248602563517107
wikipedia,Judaism,a,lettera,4095,1.0158533298541141,1.0259102888858074,0.9473914146518713,0.8730265746914875
wikipedia,Judaism,i,lettera,4035,1.286790075172836,0.9658614237673939,0.995668840802357,0.9174969370659953
wikipedia,Judaism,o,lettera,3572,1.121906113466218,0.9990145070600377,0.9630890494751734,0.8965025201025856
wikipedia,Judaism,s,lettera,3292,1.0193999958693525,1.0359909221988461,0.9895303844715575,0.903274022080123
wikipedia,Judaism,n,lettera,3255,1.2412503790924745,0.9879275534604322,0.9987754468793612,0.883034982340188
wikipedia,Judaism,r,lettera,3047,1.2406139244095746,1.0469903984404099,1.0038562017628092,0.8346329115826829
wikipedia,Judaism,h,lettera,2585,1.2311957105219415,0.9801416342769412,1.0472890661578953,0.9328776936393831
wikipedia,Judaism,d,lettera,1918,1.2264396167635925,1.0201039758036805,1.056258233715215,0.9005607827962145
wikipedia,Judaism,l,lettera,1902,1.010155344450769,0.919954924953951,0.9397776053980708,1.0031775364457216
wikipedia,Judaism,c,lettera,1503,1.1015372638086989,1.0430243943595425,0.945581891270377,0.9858817184324349
wikipedia,Judaism,m,lettera,1367,1.1136573635117137,0.9711965661195975,0.9358562964144271,1.0220273569955958
wikipedia,Judaism,u,lettera,1145,1.0904222587870676,0.980916009093821,0.9699879037370279,0.9311032230667433
wikipedia,Judaism,f,lettera,868,1.0630238221293544,0.9260379539464942,0.9850485091263715,1.000478409863732
wikipedia,Judaism,w,lettera,839,1.2391041064258639,1.023976572009798,1.0057811117928006,0.9940147986695357
wikipedia,Judaism,g,lettera,819,1.1950933473760967,0.9907646699195083,0.976154882451282,1.0874831451091873
wikipedia,Judaism,b,lettera,768,1.0832493351718266,0.9863316213982566,0.9845834427539336,1.14734564665566
wikipedia,Judaism,p,lettera,762,1.1302744773074462,1.0082450593336378,1.0029012678876876,1.1319225281735286
wikipedia,Judaism,the,funzione,768,1.350875046296825,0.9156575997658671,1.0730871100184756,1.1110058689789961
wikipedia,Judaism,of,funzione,428,1.0947273486273557,1.0337525908292007,1.049846870280992,1.0537723982914422
wikipedia,Judaism,and,funzione,350,1.0821969751313638,0.9979422446418932,1.0456119326185294,0.925733919229172
wikipedia,Judaism,in,funzione,215,1.1368808065381482,0.9888859368115428,1.0651946978954907,1.1571684203650283
wikipedia,Judaism,to,funzione,198,1.0418748095455528,0.8713989813344506,0.9839178173416611,0.9999499920532463
wikipedia,Judaism,is,funzione,152,1.1444524146695287,0.9421119112194885,1.0683138796954277,1.1483359145177647
wikipedia,Judaism,jewish,keyword,141,1.286397144080547,1.04387888940056,1.070826111757762,1.3160523906414516
wikipedia,Judaism,judaism,keyword,110,1.463254062726429,0.9922061086443229,1.3753839614718382,1.6185981128528786
wikipedia,Judaism,jews,keyword,73,1.198638777972585,1.0090519674352283,1.0147736856471283,1.350464262592126
wikipedia,Judaism,torah,keyword,55,1.2134611619501612,0.9688008882872251,1.1528993926999294,1.6090787075973811
wikipedia,Judaism,religious,keyword,44,1.0738589252069033,1.0311348646399845,0.9980939739339932,1.0388751117202832
wikipedia,Judaism,god,keyword,42,1.4778100796104425,0.9696062491278216,1.4023911880063853,1.935190953105398
wikipedia,Judaism,hebrew,keyword,33,1.0190201344922385,0.9905620424892149,0.9757415539909146,1.0192146200265477
wikipedia,Judaism,as,appaiata,110,1.0980035793931364,0.8988668769399074,1.108838957209037,1.1519338682362903
wikipedia,Judaism,are,appaiata,82,1.129368921565092,1.0052375891139222,1.0673088831512068,1.2349870745813394
wikipedia,Judaism,or,appaiata,74,1.1270495441790291,0.9582626158303563,1.1457452296881552,1.4725062888970555
wikipedia,Judaism,with,appaiata,53,1.056161133773119,0.9386061012118523,1.0153112667260937,1.041366818419461
wikipedia,Judaism,from,appaiata,41,1.073441433366983,0.9226793275741719,1.0700226932567112,1.0729450173827708
wikipedia,Judaism,for,appaiata,36,1.14467871433068,0.9679757789535378,1.123588891745148,1.3276004889374309
